dataset_row	predicted_ccsd	xyz_path
817	-15801.7175397703	Structures/structure817.xyz
818	-15801.7175370680	Structures/structure818.xyz
819	-15801.7175356680	Structures/structure819.xyz
820	-15801.7175434349	Structures/structure820.xyz
821	-15801.7175254829	Structures/structure821.xyz
822	-15801.7175280710	Structures/structure822.xyz
823	-15801.7175259439	Structures/structure823.xyz
824	-15801.7175196928	Structures/structure824.xyz
827	-15801.7177256703	Structures/structure827.xyz
828	-15801.7177490151	Structures/structure828.xyz
829	-15801.7176615756	Structures/structure829.xyz
830	-15801.7175670431	Structures/structure830.xyz
831	-15801.7177394582	Structures/structure831.xyz
832	-15801.7176989607	Structures/structure832.xyz
833	-15801.7176605266	Structures/structure833.xyz
834	-15801.7177463058	Structures/structure834.xyz
835	-15801.7177287916	Structures/structure835.xyz
836	-15801.7175750458	Structures/structure836.xyz
837	-15801.7176805877	Structures/structure837.xyz
839	-15801.7177554748	Structures/structure839.xyz
840	-15801.7176931268	Structures/structure840.xyz
841	-15801.7177182907	Structures/structure841.xyz
842	-15801.7177329311	Structures/structure842.xyz
843	-15801.7176318229	Structures/structure843.xyz
844	-15801.7177438067	Structures/structure844.xyz
845	-15801.7177261241	Structures/structure845.xyz
846	-15801.7177175079	Structures/structure846.xyz
847	-15801.7177395726	Structures/structure847.xyz
848	-15801.7177326922	Structures/structure848.xyz
849	-15801.7176819739	Structures/structure849.xyz
851	-15801.7176804113	Structures/structure851.xyz
852	-15801.7176846072	Structures/structure852.xyz
853	-15801.7176112036	Structures/structure853.xyz
854	-15801.7175326138	Structures/structure854.xyz
855	-15801.7175373330	Structures/structure855.xyz
856	-15801.7175259062	Structures/structure856.xyz
857	-15801.7175397405	Structures/structure857.xyz
858	-15801.7175279552	Structures/structure858.xyz
859	-15801.7175357524	Structures/structure859.xyz
860	-15801.7175379428	Structures/structure860.xyz
861	-15801.7175449182	Structures/structure861.xyz
862	-15801.7175322873	Structures/structure862.xyz
863	-15801.7175251065	Structures/structure863.xyz
864	-15801.7175236106	Structures/structure864.xyz
866	-15801.7175409841	Structures/structure866.xyz
867	-15801.7175180476	Structures/structure867.xyz
868	-15801.7175311230	Structures/structure868.xyz
870	-15801.7175308666	Structures/structure870.xyz
871	-15801.7175217706	Structures/structure871.xyz
873	-15801.7175213461	Structures/structure873.xyz
874	-15801.7175449175	Structures/structure874.xyz
875	-15801.7175312647	Structures/structure875.xyz
876	-15801.7175192375	Structures/structure876.xyz
877	-15801.7175184713	Structures/structure877.xyz
879	-15801.7175282019	Structures/structure879.xyz
880	-15801.7175266633	Structures/structure880.xyz
881	-15801.7175473739	Structures/structure881.xyz
882	-15801.7175347120	Structures/structure882.xyz
883	-15801.7175436771	Structures/structure883.xyz
884	-15801.7175485424	Structures/structure884.xyz
887	-15801.7175210176	Structures/structure887.xyz
888	-15801.7175359908	Structures/structure888.xyz
889	-15801.7175306189	Structures/structure889.xyz
890	-15801.7175282252	Structures/structure890.xyz
891	-15801.7175343898	Structures/structure891.xyz
892	-15801.7175372948	Structures/structure892.xyz
894	-15801.7175221254	Structures/structure894.xyz
895	-15801.7175228279	Structures/structure895.xyz
896	-15801.7175207551	Structures/structure896.xyz
898	-15801.7175205261	Structures/structure898.xyz
972	-15801.7175221562	Structures/structure972.xyz
997	-15801.7175237950	Structures/structure997.xyz
1003	-15801.7175225376	Structures/structure1003.xyz
1075	-15801.7175230987	Structures/structure1075.xyz
1164	-15801.7175228669	Structures/structure1164.xyz
1205	-15801.7175228311	Structures/structure1205.xyz
1276	-15801.7175413926	Structures/structure1276.xyz
1340	-15801.7175233929	Structures/structure1340.xyz
1454	-15801.7175225682	Structures/structure1454.xyz
1527	-15801.7175228176	Structures/structure1527.xyz
1545	-15801.7175234060	Structures/structure1545.xyz
1572	-15801.7175217486	Structures/structure1572.xyz
1620	-15801.7175215536	Structures/structure1620.xyz
1696	-15801.7175221772	Structures/structure1696.xyz
1734	-15801.7175227200	Structures/structure1734.xyz
1741	-15801.7175180528	Structures/structure1741.xyz
1844	-15801.7175224213	Structures/structure1844.xyz
1848	-15801.7175210064	Structures/structure1848.xyz
1947	-15801.7175225180	Structures/structure1947.xyz
1960	-15801.7175217385	Structures/structure1960.xyz
1971	-15801.7175219182	Structures/structure1971.xyz
2106	-15801.7175222617	Structures/structure2106.xyz
2144	-15801.7175203701	Structures/structure2144.xyz
2161	-15801.7175221448	Structures/structure2161.xyz
2166	-15801.7175219586	Structures/structure2166.xyz
2169	-15801.7175225007	Structures/structure2169.xyz
2241	-15801.7175231171	Structures/structure2241.xyz
2247	-15801.7175230159	Structures/structure2247.xyz
2262	-15801.7175212698	Structures/structure2262.xyz
2376	-15801.7175228725	Structures/structure2376.xyz
2400	-15801.7175221327	Structures/structure2400.xyz
2419	-15801.7175250597	Structures/structure2419.xyz
2481	-15801.7175222525	Structures/structure2481.xyz
2808	-15801.7175226133	Structures/structure2808.xyz
2829	-15801.7175519622	Structures/structure2829.xyz
2886	-15801.7175216830	Structures/structure2886.xyz
3102	-15801.7175220861	Structures/structure3102.xyz
3304	-15801.7175234662	Structures/structure3304.xyz
3308	-15801.7175227924	Structures/structure3308.xyz
3341	-15801.7175209307	Structures/structure3341.xyz
3477	-15801.7175240395	Structures/structure3477.xyz
3497	-15801.7175222657	Structures/structure3497.xyz
3535	-15801.7175239979	Structures/structure3535.xyz
3553	-15801.7175231773	Structures/structure3553.xyz
3566	-15801.7175224847	Structures/structure3566.xyz
3574	-15801.7175241375	Structures/structure3574.xyz
3634	-15801.7175229713	Structures/structure3634.xyz
3677	-15801.7175221874	Structures/structure3677.xyz
3719	-15801.7175230978	Structures/structure3719.xyz
3795	-15801.7175221072	Structures/structure3795.xyz
3824	-15801.7175222611	Structures/structure3824.xyz
3830	-15801.7175239259	Structures/structure3830.xyz
3861	-15801.7175204793	Structures/structure3861.xyz
3862	-15801.7175218484	Structures/structure3862.xyz
3882	-15801.7175219069	Structures/structure3882.xyz
3924	-15801.7175207760	Structures/structure3924.xyz
4040	-15801.7175292039	Structures/structure4040.xyz
4161	-15801.7175230326	Structures/structure4161.xyz
4269	-15801.7175232237	Structures/structure4269.xyz
4310	-15801.7175214749	Structures/structure4310.xyz
4325	-15801.7175222421	Structures/structure4325.xyz
4377	-15801.7175227382	Structures/structure4377.xyz
4428	-15801.7175218135	Structures/structure4428.xyz
4516	-15801.7175243757	Structures/structure4516.xyz
