dataset_row	predicted_ccsd	xyz_path
889	-15801.7173996662	Structures/structure889.xyz
890	-15801.7174008824	Structures/structure890.xyz
891	-15801.7174031604	Structures/structure891.xyz
892	-15801.7173903990	Structures/structure892.xyz
893	-15801.7174057164	Structures/structure893.xyz
894	-15801.7174047976	Structures/structure894.xyz
895	-15801.7173880481	Structures/structure895.xyz
896	-15801.7173916438	Structures/structure896.xyz
897	-15801.7174061969	Structures/structure897.xyz
898	-15801.7173873634	Structures/structure898.xyz
899	-15801.7173941403	Structures/structure899.xyz
900	-15801.7173912593	Structures/structure900.xyz
901	-15801.7174049275	Structures/structure901.xyz
902	-15801.7173853473	Structures/structure902.xyz
903	-15801.7173864933	Structures/structure903.xyz
904	-15801.7173984745	Structures/structure904.xyz
905	-15801.7173954903	Structures/structure905.xyz
906	-15801.7173998467	Structures/structure906.xyz
907	-15801.7173873001	Structures/structure907.xyz
908	-15801.7173998889	Structures/structure908.xyz
909	-15801.7173855854	Structures/structure909.xyz
910	-15801.7173865344	Structures/structure910.xyz
911	-15801.7173910691	Structures/structure911.xyz
912	-15801.7173915243	Structures/structure912.xyz
913	-15801.7173972398	Structures/structure913.xyz
914	-15801.7173851251	Structures/structure914.xyz
915	-15801.7173851748	Structures/structure915.xyz
916	-15801.7173960479	Structures/structure916.xyz
917	-15801.7174070004	Structures/structure917.xyz
918	-15801.7173847764	Structures/structure918.xyz
919	-15801.7173845733	Structures/structure919.xyz
920	-15801.7173921079	Structures/structure920.xyz
921	-15801.7173922413	Structures/structure921.xyz
922	-15801.7173932960	Structures/structure922.xyz
923	-15801.7174056797	Structures/structure923.xyz
924	-15801.7173999297	Structures/structure924.xyz
925	-15801.7173956619	Structures/structure925.xyz
926	-15801.7173963198	Structures/structure926.xyz
927	-15801.7173806427	Structures/structure927.xyz
928	-15801.7174018122	Structures/structure928.xyz
929	-15801.7173911000	Structures/structure929.xyz
965	-15801.7172786878	Structures/structure965.xyz
997	-15801.7174009039	Structures/structure997.xyz
1003	-15801.7174005132	Structures/structure1003.xyz
1156	-15801.7172700025	Structures/structure1156.xyz
1159	-15801.7174014530	Structures/structure1159.xyz
1274	-15801.7174007012	Structures/structure1274.xyz
1396	-15801.7172735567	Structures/structure1396.xyz
1408	-15801.7174009970	Structures/structure1408.xyz
1454	-15801.7174011371	Structures/structure1454.xyz
1545	-15801.7174009414	Structures/structure1545.xyz
1549	-15801.7174003028	Structures/structure1549.xyz
1570	-15801.7174007369	Structures/structure1570.xyz
1615	-15801.7174007527	Structures/structure1615.xyz
1666	-15801.7174010250	Structures/structure1666.xyz
1696	-15801.7174007762	Structures/structure1696.xyz
1708	-15801.7174009211	Structures/structure1708.xyz
1734	-15801.7174012273	Structures/structure1734.xyz
1816	-15801.7174020659	Structures/structure1816.xyz
1841	-15801.7174010143	Structures/structure1841.xyz
1887	-15801.7174008473	Structures/structure1887.xyz
1922	-15801.7172796259	Structures/structure1922.xyz
1947	-15801.7174016870	Structures/structure1947.xyz
1959	-15801.7172926420	Structures/structure1959.xyz
1960	-15801.7174001860	Structures/structure1960.xyz
1971	-15801.7174011036	Structures/structure1971.xyz
1988	-15801.7172861819	Structures/structure1988.xyz
2042	-15801.7174003388	Structures/structure2042.xyz
2043	-15801.7172723853	Structures/structure2043.xyz
2064	-15801.7174014907	Structures/structure2064.xyz
2106	-15801.7174011486	Structures/structure2106.xyz
2144	-15801.7174009141	Structures/structure2144.xyz
2146	-15801.7174006995	Structures/structure2146.xyz
2153	-15801.7174004845	Structures/structure2153.xyz
2166	-15801.7174009595	Structures/structure2166.xyz
2169	-15801.7174017484	Structures/structure2169.xyz
2247	-15801.7174011100	Structures/structure2247.xyz
2262	-15801.7174013528	Structures/structure2262.xyz
2267	-15801.7174011496	Structures/structure2267.xyz
2291	-15801.7172991475	Structures/structure2291.xyz
2298	-15801.7174016411	Structures/structure2298.xyz
2376	-15801.7174009594	Structures/structure2376.xyz
2481	-15801.7174016161	Structures/structure2481.xyz
2544	-15801.7174021352	Structures/structure2544.xyz
2566	-15801.7173270649	Structures/structure2566.xyz
2589	-15801.7172875374	Structures/structure2589.xyz
