dataset_row	predicted_ccsd	xyz_path
1027	-3124.2659941062	Structures_reordered/structure1027.xyz
1028	-3124.2659896705	Structures_reordered/structure1028.xyz
1067	-3124.2661278272	Structures_reordered/structure1067.xyz
1068	-3124.2661493456	Structures_reordered/structure1068.xyz
1099	-3124.2660042261	Structures_reordered/structure1099.xyz
1100	-3124.2659951026	Structures_reordered/structure1100.xyz
1101	-3124.2660178998	Structures_reordered/structure1101.xyz
1102	-3124.2659928457	Structures_reordered/structure1102.xyz
1103	-3124.2659917066	Structures_reordered/structure1103.xyz
1104	-3124.2659888599	Structures_reordered/structure1104.xyz
1105	-3124.2660308967	Structures_reordered/structure1105.xyz
1106	-3124.2659933814	Structures_reordered/structure1106.xyz
1107	-3124.2660050803	Structures_reordered/structure1107.xyz
1108	-3124.2660244578	Structures_reordered/structure1108.xyz
1109	-3124.2659938831	Structures_reordered/structure1109.xyz
1110	-3124.2660261409	Structures_reordered/structure1110.xyz
1111	-3124.2659970185	Structures_reordered/structure1111.xyz
1112	-3124.2659977552	Structures_reordered/structure1112.xyz
1113	-3124.2660033347	Structures_reordered/structure1113.xyz
1114	-3124.2660147698	Structures_reordered/structure1114.xyz
1115	-3124.2659956539	Structures_reordered/structure1115.xyz
1116	-3124.2660220995	Structures_reordered/structure1116.xyz
1117	-3124.2660206659	Structures_reordered/structure1117.xyz
1118	-3124.2660002742	Structures_reordered/structure1118.xyz
1205	-3124.2657773515	Structures_reordered/structure1205.xyz
1249	-3124.2657743318	Structures_reordered/structure1249.xyz
1260	-3124.2658480259	Structures_reordered/structure1260.xyz
1265	-3124.2659966262	Structures_reordered/structure1265.xyz
1363	-3124.2660041869	Structures_reordered/structure1363.xyz
1372	-3124.2660039020	Structures_reordered/structure1372.xyz
1405	-3124.2659940789	Structures_reordered/structure1405.xyz
1429	-3124.2660171422	Structures_reordered/structure1429.xyz
1490	-3124.2657799175	Structures_reordered/structure1490.xyz
1496	-3124.2660069955	Structures_reordered/structure1496.xyz
1520	-3124.2660085318	Structures_reordered/structure1520.xyz
1560	-3124.2657956558	Structures_reordered/structure1560.xyz
1571	-3124.2659903985	Structures_reordered/structure1571.xyz
1574	-3124.2659898560	Structures_reordered/structure1574.xyz
1595	-3124.2660199080	Structures_reordered/structure1595.xyz
1637	-3124.2658208819	Structures_reordered/structure1637.xyz
1640	-3124.2659096806	Structures_reordered/structure1640.xyz
1645	-3124.2660189799	Structures_reordered/structure1645.xyz
1659	-3124.2658905100	Structures_reordered/structure1659.xyz
1709	-3124.2658225344	Structures_reordered/structure1709.xyz
1724	-3124.2660029883	Structures_reordered/structure1724.xyz
1728	-3124.2660208745	Structures_reordered/structure1728.xyz
1787	-3124.2657765579	Structures_reordered/structure1787.xyz
1795	-3124.2658923461	Structures_reordered/structure1795.xyz
1835	-3124.2660061996	Structures_reordered/structure1835.xyz
1873	-3124.2659833463	Structures_reordered/structure1873.xyz
1911	-3124.2659980382	Structures_reordered/structure1911.xyz
1927	-3124.2657893925	Structures_reordered/structure1927.xyz
1930	-3124.2660225232	Structures_reordered/structure1930.xyz
1932	-3124.2659943325	Structures_reordered/structure1932.xyz
1952	-3124.2660313716	Structures_reordered/structure1952.xyz
1958	-3124.2658208754	Structures_reordered/structure1958.xyz
1963	-3124.2657856204	Structures_reordered/structure1963.xyz
2042	-3124.2657717683	Structures_reordered/structure2042.xyz
2181	-3124.2660228802	Structures_reordered/structure2181.xyz
2187	-3124.2660010391	Structures_reordered/structure2187.xyz
2193	-3124.2659997020	Structures_reordered/structure2193.xyz
2220	-3124.2660317215	Structures_reordered/structure2220.xyz
2233	-3124.2659996064	Structures_reordered/structure2233.xyz
2264	-3124.2659930636	Structures_reordered/structure2264.xyz
2307	-3124.2657710678	Structures_reordered/structure2307.xyz
2338	-3124.2657777135	Structures_reordered/structure2338.xyz
2374	-3124.2659952986	Structures_reordered/structure2374.xyz
2375	-3124.2657754893	Structures_reordered/structure2375.xyz
2412	-3124.2658291915	Structures_reordered/structure2412.xyz
2435	-3124.2657710507	Structures_reordered/structure2435.xyz
2470	-3124.2659755418	Structures_reordered/structure2470.xyz
2473	-3124.2658314402	Structures_reordered/structure2473.xyz
2476	-3124.2658479113	Structures_reordered/structure2476.xyz
2477	-3124.2660219824	Structures_reordered/structure2477.xyz
2480	-3124.2658447888	Structures_reordered/structure2480.xyz
2585	-3124.2657867307	Structures_reordered/structure2585.xyz
2591	-3124.2658123343	Structures_reordered/structure2591.xyz
2619	-3124.2658726288	Structures_reordered/structure2619.xyz
2702	-3124.2657723837	Structures_reordered/structure2702.xyz
2707	-3124.2657924051	Structures_reordered/structure2707.xyz
2712	-3124.2660068223	Structures_reordered/structure2712.xyz
2721	-3124.2660090245	Structures_reordered/structure2721.xyz
2763	-3124.2660008884	Structures_reordered/structure2763.xyz
2777	-3124.2660149971	Structures_reordered/structure2777.xyz
2798	-3124.2659149737	Structures_reordered/structure2798.xyz
2821	-3124.2660180439	Structures_reordered/structure2821.xyz
2829	-3124.2658030246	Structures_reordered/structure2829.xyz
2838	-3124.2658188947	Structures_reordered/structure2838.xyz
2852	-3124.2658056002	Structures_reordered/structure2852.xyz
2856	-3124.2659992395	Structures_reordered/structure2856.xyz
2858	-3124.2660092004	Structures_reordered/structure2858.xyz
2889	-3124.2657961151	Structures_reordered/structure2889.xyz
2955	-3124.2660045468	Structures_reordered/structure2955.xyz
2960	-3124.2659926303	Structures_reordered/structure2960.xyz
3025	-3124.2660265456	Structures_reordered/structure3025.xyz
