dataset_row	predicted_ccsd	xyz_path
1027	-3124.2658326316	Structures/structure1027.xyz
1028	-3124.2658286512	Structures/structure1028.xyz
1099	-3124.2658219761	Structures/structure1099.xyz
1100	-3124.2658256105	Structures/structure1100.xyz
1101	-3124.2658382704	Structures/structure1101.xyz
1102	-3124.2658283057	Structures/structure1102.xyz
1103	-3124.2658283748	Structures/structure1103.xyz
1104	-3124.2658314859	Structures/structure1104.xyz
1105	-3124.2658311531	Structures/structure1105.xyz
1106	-3124.2658317553	Structures/structure1106.xyz
1107	-3124.2658315425	Structures/structure1107.xyz
1108	-3124.2658334283	Structures/structure1108.xyz
1109	-3124.2658264517	Structures/structure1109.xyz
1110	-3124.2658281213	Structures/structure1110.xyz
1111	-3124.2658272219	Structures/structure1111.xyz
1112	-3124.2658176159	Structures/structure1112.xyz
1113	-3124.2658324941	Structures/structure1113.xyz
1114	-3124.2658254677	Structures/structure1114.xyz
1115	-3124.2658279979	Structures/structure1115.xyz
1116	-3124.2658255539	Structures/structure1116.xyz
1117	-3124.2658309828	Structures/structure1117.xyz
1118	-3124.2658287046	Structures/structure1118.xyz
1135	-3124.2658279997	Structures/structure1135.xyz
1136	-3124.2658334591	Structures/structure1136.xyz
1285	-3124.2658230331	Structures/structure1285.xyz
1363	-3124.2658304362	Structures/structure1363.xyz
1372	-3124.2658280651	Structures/structure1372.xyz
1394	-3124.2658275545	Structures/structure1394.xyz
1405	-3124.2658245760	Structures/structure1405.xyz
1429	-3124.2658360980	Structures/structure1429.xyz
1493	-3124.2658290551	Structures/structure1493.xyz
1520	-3124.2658292978	Structures/structure1520.xyz
1537	-3124.2657932811	Structures/structure1537.xyz
1544	-3124.2658244541	Structures/structure1544.xyz
1560	-3124.2657950184	Structures/structure1560.xyz
1564	-3124.2658009208	Structures/structure1564.xyz
1568	-3124.2658301571	Structures/structure1568.xyz
1571	-3124.2658266668	Structures/structure1571.xyz
1595	-3124.2658249949	Structures/structure1595.xyz
1724	-3124.2658326635	Structures/structure1724.xyz
1728	-3124.2658322684	Structures/structure1728.xyz
1787	-3124.2658044618	Structures/structure1787.xyz
1789	-3124.2657995257	Structures/structure1789.xyz
1795	-3124.2657895947	Structures/structure1795.xyz
1835	-3124.2658275089	Structures/structure1835.xyz
1873	-3124.2658221432	Structures/structure1873.xyz
1893	-3124.2658085503	Structures/structure1893.xyz
1911	-3124.2658279473	Structures/structure1911.xyz
1930	-3124.2658258930	Structures/structure1930.xyz
1932	-3124.2658232145	Structures/structure1932.xyz
2090	-3124.2657956919	Structures/structure2090.xyz
2148	-3124.2658000921	Structures/structure2148.xyz
2181	-3124.2658263336	Structures/structure2181.xyz
2187	-3124.2658344018	Structures/structure2187.xyz
2193	-3124.2658269522	Structures/structure2193.xyz
2347	-3124.2657912031	Structures/structure2347.xyz
2374	-3124.2658292107	Structures/structure2374.xyz
2470	-3124.2658259533	Structures/structure2470.xyz
2480	-3124.2657988287	Structures/structure2480.xyz
2536	-3124.2657986805	Structures/structure2536.xyz
2560	-3124.2658020369	Structures/structure2560.xyz
2575	-3124.2657898602	Structures/structure2575.xyz
2585	-3124.2658058240	Structures/structure2585.xyz
2606	-3124.2657893308	Structures/structure2606.xyz
2621	-3124.2658322587	Structures/structure2621.xyz
2690	-3124.2658070924	Structures/structure2690.xyz
2721	-3124.2658253696	Structures/structure2721.xyz
2763	-3124.2658283391	Structures/structure2763.xyz
2777	-3124.2658263574	Structures/structure2777.xyz
2821	-3124.2658245598	Structures/structure2821.xyz
2825	-3124.2658179701	Structures/structure2825.xyz
2830	-3124.2657899574	Structures/structure2830.xyz
2858	-3124.2658303354	Structures/structure2858.xyz
2876	-3124.2658333645	Structures/structure2876.xyz
2889	-3124.2658176277	Structures/structure2889.xyz
2892	-3124.2658301808	Structures/structure2892.xyz
2955	-3124.2658372872	Structures/structure2955.xyz
2960	-3124.2658282226	Structures/structure2960.xyz
3017	-3124.2658067409	Structures/structure3017.xyz
3018	-3124.2657914791	Structures/structure3018.xyz
3025	-3124.2658297721	Structures/structure3025.xyz
3050	-3124.2658314258	Structures/structure3050.xyz
3092	-3124.2657898964	Structures/structure3092.xyz
3098	-3124.2658138484	Structures/structure3098.xyz
3102	-3124.2658248236	Structures/structure3102.xyz
3108	-3124.2658283621	Structures/structure3108.xyz
3138	-3124.2658279326	Structures/structure3138.xyz
3178	-3124.2658265087	Structures/structure3178.xyz
3243	-3124.2658312159	Structures/structure3243.xyz
3259	-3124.2658147371	Structures/structure3259.xyz
3295	-3124.2657907737	Structures/structure3295.xyz
3351	-3124.2657977325	Structures/structure3351.xyz
3383	-3124.2658301683	Structures/structure3383.xyz
3393	-3124.2657934730	Structures/structure3393.xyz
3453	-3124.2658330015	Structures/structure3453.xyz
3503	-3124.2658286487	Structures/structure3503.xyz
3507	-3124.2657975138	Structures/structure3507.xyz
3513	-3124.2657949657	Structures/structure3513.xyz
3551	-3124.2657970014	Structures/structure3551.xyz
3556	-3124.2658160027	Structures/structure3556.xyz
3578	-3124.2658253230	Structures/structure3578.xyz
3581	-3124.2658298143	Structures/structure3581.xyz
3601	-3124.2657928075	Structures/structure3601.xyz
3664	-3124.2658262535	Structures/structure3664.xyz
3689	-3124.2658246687	Structures/structure3689.xyz
3719	-3124.2658265714	Structures/structure3719.xyz
3758	-3124.2658321590	Structures/structure3758.xyz
3762	-3124.2658284988	Structures/structure3762.xyz
3771	-3124.2657918702	Structures/structure3771.xyz
3773	-3124.2658224688	Structures/structure3773.xyz
3842	-3124.2657896782	Structures/structure3842.xyz
3845	-3124.2658308529	Structures/structure3845.xyz
3872	-3124.2658291312	Structures/structure3872.xyz
3880	-3124.2658297797	Structures/structure3880.xyz
3907	-3124.2658265113	Structures/structure3907.xyz
3910	-3124.2658293311	Structures/structure3910.xyz
3948	-3124.2658279019	Structures/structure3948.xyz
4041	-3124.2657993709	Structures/structure4041.xyz
4059	-3124.2658270134	Structures/structure4059.xyz
4105	-3124.2658268252	Structures/structure4105.xyz
4106	-3124.2658269125	Structures/structure4106.xyz
4122	-3124.2658351606	Structures/structure4122.xyz
4135	-3124.2658304239	Structures/structure4135.xyz
4146	-3124.2657934466	Structures/structure4146.xyz
4147	-3124.2658078289	Structures/structure4147.xyz
4229	-3124.2658274185	Structures/structure4229.xyz
4280	-3124.2658305148	Structures/structure4280.xyz
4302	-3124.2658315113	Structures/structure4302.xyz
4332	-3124.2658322260	Structures/structure4332.xyz
4356	-3124.2658100814	Structures/structure4356.xyz
4382	-3124.2658316858	Structures/structure4382.xyz
4400	-3124.2658308195	Structures/structure4400.xyz
4408	-3124.2658295298	Structures/structure4408.xyz
4436	-3124.2657916195	Structures/structure4436.xyz
4446	-3124.2657895039	Structures/structure4446.xyz
4504	-3124.2658318272	Structures/structure4504.xyz
4566	-3124.2658300488	Structures/structure4566.xyz
4611	-3124.2658084242	Structures/structure4611.xyz
4616	-3124.2657896194	Structures/structure4616.xyz
4715	-3124.2658260236	Structures/structure4715.xyz
4724	-3124.2657922618	Structures/structure4724.xyz
4748	-3124.2657943353	Structures/structure4748.xyz
4749	-3124.2658268190	Structures/structure4749.xyz
4789	-3124.2658298030	Structures/structure4789.xyz
4864	-3124.2658327879	Structures/structure4864.xyz
4909	-3124.2657955157	Structures/structure4909.xyz
4940	-3124.2657924957	Structures/structure4940.xyz
5043	-3124.2658259645	Structures/structure5043.xyz
5049	-3124.2658323357	Structures/structure5049.xyz
5082	-3124.2658321053	Structures/structure5082.xyz
5087	-3124.2658277112	Structures/structure5087.xyz
5106	-3124.2658095341	Structures/structure5106.xyz
5122	-3124.2658150791	Structures/structure5122.xyz
5124	-3124.2657980944	Structures/structure5124.xyz
5125	-3124.2658228498	Structures/structure5125.xyz
5133	-3124.2658239157	Structures/structure5133.xyz
5215	-3124.2658251002	Structures/structure5215.xyz
5225	-3124.2658261023	Structures/structure5225.xyz
5245	-3124.2658265034	Structures/structure5245.xyz
5320	-3124.2658295931	Structures/structure5320.xyz
5355	-3124.2658301974	Structures/structure5355.xyz
5359	-3124.2657918360	Structures/structure5359.xyz
5405	-3124.2658279584	Structures/structure5405.xyz
5413	-3124.2658323578	Structures/structure5413.xyz
5421	-3124.2658256212	Structures/structure5421.xyz
5468	-3124.2658286529	Structures/structure5468.xyz
5497	-3124.2657894377	Structures/structure5497.xyz
5519	-3124.2657988072	Structures/structure5519.xyz
5526	-3124.2658339151	Structures/structure5526.xyz
5544	-3124.2658296637	Structures/structure5544.xyz
5554	-3124.2658299030	Structures/structure5554.xyz
5585	-3124.2658265406	Structures/structure5585.xyz
5612	-3124.2658291525	Structures/structure5612.xyz
5654	-3124.2658056897	Structures/structure5654.xyz
5660	-3124.2658276264	Structures/structure5660.xyz
5677	-3124.2658119891	Structures/structure5677.xyz
5690	-3124.2658079882	Structures/structure5690.xyz
5713	-3124.2658250494	Structures/structure5713.xyz
