dataset_row	predicted_ccsd	xyz_path
828	-964.4271700036	Structures/structure828.xyz
829	-964.4272442251	Structures/structure829.xyz
830	-964.4272124309	Structures/structure830.xyz
831	-964.4271535409	Structures/structure831.xyz
832	-964.4269587163	Structures/structure832.xyz
833	-964.4268892515	Structures/structure833.xyz
834	-964.4271176637	Structures/structure834.xyz
835	-964.4270244235	Structures/structure835.xyz
836	-964.4268658706	Structures/structure836.xyz
837	-964.4269918107	Structures/structure837.xyz
838	-964.4270032601	Structures/structure838.xyz
839	-964.4269969666	Structures/structure839.xyz
840	-964.4270127317	Structures/structure840.xyz
841	-964.4268803509	Structures/structure841.xyz
842	-964.4267834109	Structures/structure842.xyz
843	-964.4269005670	Structures/structure843.xyz
844	-964.4269592694	Structures/structure844.xyz
845	-964.4270227722	Structures/structure845.xyz
846	-964.4269380995	Structures/structure846.xyz
847	-964.4271244644	Structures/structure847.xyz
848	-964.4268317604	Structures/structure848.xyz
849	-964.4268780169	Structures/structure849.xyz
850	-964.4269175259	Structures/structure850.xyz
851	-964.4269901205	Structures/structure851.xyz
868	-964.4267488793	Structures/structure868.xyz
869	-964.4268447843	Structures/structure869.xyz
870	-964.4270105914	Structures/structure870.xyz
871	-964.4269238111	Structures/structure871.xyz
872	-964.4268957437	Structures/structure872.xyz
873	-964.4268898551	Structures/structure873.xyz
874	-964.4268773794	Structures/structure874.xyz
875	-964.4269828614	Structures/structure875.xyz
876	-964.4269619874	Structures/structure876.xyz
877	-964.4268883182	Structures/structure877.xyz
878	-964.4268479343	Structures/structure878.xyz
879	-964.4270071284	Structures/structure879.xyz
880	-964.4269789149	Structures/structure880.xyz
881	-964.4269417210	Structures/structure881.xyz
882	-964.4270036964	Structures/structure882.xyz
883	-964.4269685818	Structures/structure883.xyz
884	-964.4268429183	Structures/structure884.xyz
885	-964.4269798546	Structures/structure885.xyz
886	-964.4269420868	Structures/structure886.xyz
887	-964.4270090267	Structures/structure887.xyz
888	-964.4269628874	Structures/structure888.xyz
910	-964.4268590597	Structures/structure910.xyz
1013	-964.4268596949	Structures/structure1013.xyz
1042	-964.4268647400	Structures/structure1042.xyz
1105	-964.4268649604	Structures/structure1105.xyz
1135	-964.4268564782	Structures/structure1135.xyz
1197	-964.4268600127	Structures/structure1197.xyz
1216	-964.4268539562	Structures/structure1216.xyz
1305	-964.4268543519	Structures/structure1305.xyz
1326	-964.4268475634	Structures/structure1326.xyz
1335	-964.4268628643	Structures/structure1335.xyz
1339	-964.4268575450	Structures/structure1339.xyz
1385	-964.4268583281	Structures/structure1385.xyz
1506	-964.4268447458	Structures/structure1506.xyz
1606	-964.4268623002	Structures/structure1606.xyz
1662	-964.4268562475	Structures/structure1662.xyz
