dataset_row	predicted_ccsd	xyz_path
818	-964.4256744377	Structures/structure818.xyz
828	-964.4257124334	Structures/structure828.xyz
829	-964.4257125090	Structures/structure829.xyz
830	-964.4257149158	Structures/structure830.xyz
831	-964.4257061645	Structures/structure831.xyz
832	-964.4257059973	Structures/structure832.xyz
833	-964.4257118389	Structures/structure833.xyz
834	-964.4257090287	Structures/structure834.xyz
835	-964.4257086835	Structures/structure835.xyz
836	-964.4257181961	Structures/structure836.xyz
837	-964.4257101529	Structures/structure837.xyz
838	-964.4257138125	Structures/structure838.xyz
839	-964.4257189612	Structures/structure839.xyz
840	-964.4257080691	Structures/structure840.xyz
841	-964.4257095283	Structures/structure841.xyz
842	-964.4257140860	Structures/structure842.xyz
843	-964.4257125976	Structures/structure843.xyz
844	-964.4257231582	Structures/structure844.xyz
845	-964.4257055872	Structures/structure845.xyz
846	-964.4257072704	Structures/structure846.xyz
847	-964.4257107919	Structures/structure847.xyz
848	-964.4257124705	Structures/structure848.xyz
849	-964.4257138445	Structures/structure849.xyz
850	-964.4257162697	Structures/structure850.xyz
851	-964.4257147171	Structures/structure851.xyz
868	-964.4257162764	Structures/structure868.xyz
869	-964.4257104825	Structures/structure869.xyz
870	-964.4257092315	Structures/structure870.xyz
871	-964.4257071627	Structures/structure871.xyz
872	-964.4257126404	Structures/structure872.xyz
873	-964.4257030366	Structures/structure873.xyz
874	-964.4257185360	Structures/structure874.xyz
875	-964.4257034263	Structures/structure875.xyz
876	-964.4257074218	Structures/structure876.xyz
877	-964.4257111789	Structures/structure877.xyz
878	-964.4257106215	Structures/structure878.xyz
879	-964.4257129629	Structures/structure879.xyz
880	-964.4256987183	Structures/structure880.xyz
881	-964.4257107695	Structures/structure881.xyz
882	-964.4257145353	Structures/structure882.xyz
883	-964.4257114404	Structures/structure883.xyz
884	-964.4257164701	Structures/structure884.xyz
885	-964.4257094207	Structures/structure885.xyz
886	-964.4257200182	Structures/structure886.xyz
887	-964.4257038704	Structures/structure887.xyz
888	-964.4257144705	Structures/structure888.xyz
907	-964.4257178019	Structures/structure907.xyz
989	-964.4257174293	Structures/structure989.xyz
1002	-964.4257182772	Structures/structure1002.xyz
1009	-964.4257164339	Structures/structure1009.xyz
1013	-964.4257179905	Structures/structure1013.xyz
1042	-964.4257172614	Structures/structure1042.xyz
1050	-964.4257173342	Structures/structure1050.xyz
1056	-964.4257188327	Structures/structure1056.xyz
1113	-964.4257182313	Structures/structure1113.xyz
1135	-964.4257172435	Structures/structure1135.xyz
1143	-964.4257174804	Structures/structure1143.xyz
1156	-964.4256759035	Structures/structure1156.xyz
1216	-964.4257180705	Structures/structure1216.xyz
1297	-964.4257178820	Structures/structure1297.xyz
1326	-964.4257185127	Structures/structure1326.xyz
1351	-964.4257177856	Structures/structure1351.xyz
1401	-964.4257176828	Structures/structure1401.xyz
1463	-964.4257179442	Structures/structure1463.xyz
1540	-964.4257192366	Structures/structure1540.xyz
1546	-964.4257174797	Structures/structure1546.xyz
1571	-964.4257168615	Structures/structure1571.xyz
1584	-964.4257166225	Structures/structure1584.xyz
1606	-964.4257171599	Structures/structure1606.xyz
1662	-964.4257173317	Structures/structure1662.xyz
1699	-964.4256778508	Structures/structure1699.xyz
1721	-964.4257178855	Structures/structure1721.xyz
1734	-964.4257181966	Structures/structure1734.xyz
1759	-964.4257194500	Structures/structure1759.xyz
1810	-964.4257175523	Structures/structure1810.xyz
1914	-964.4257183530	Structures/structure1914.xyz
1943	-964.4256722150	Structures/structure1943.xyz
1976	-964.4257176882	Structures/structure1976.xyz
1985	-964.4257172371	Structures/structure1985.xyz
2040	-964.4257183180	Structures/structure2040.xyz
2135	-964.4257177185	Structures/structure2135.xyz
2138	-964.4257174477	Structures/structure2138.xyz
2157	-964.4257179447	Structures/structure2157.xyz
2167	-964.4257180085	Structures/structure2167.xyz
2198	-964.4257180917	Structures/structure2198.xyz
2221	-964.4256924476	Structures/structure2221.xyz
2231	-964.4257180701	Structures/structure2231.xyz
2534	-964.4257173697	Structures/structure2534.xyz
2557	-964.4257179999	Structures/structure2557.xyz
2571	-964.4256804970	Structures/structure2571.xyz
2607	-964.4257185140	Structures/structure2607.xyz
2644	-964.4257179490	Structures/structure2644.xyz
2788	-964.4257192170	Structures/structure2788.xyz
2813	-964.4257171110	Structures/structure2813.xyz
2822	-964.4257183508	Structures/structure2822.xyz
2857	-964.4257182084	Structures/structure2857.xyz
2891	-964.4257178641	Structures/structure2891.xyz
2927	-964.4257168382	Structures/structure2927.xyz
2951	-964.4257179085	Structures/structure2951.xyz
3165	-964.4257165806	Structures/structure3165.xyz
3201	-964.4257182887	Structures/structure3201.xyz
3280	-964.4256793912	Structures/structure3280.xyz
3290	-964.4257172826	Structures/structure3290.xyz
3306	-964.4257176389	Structures/structure3306.xyz
