dataset_row	predicted_ccsd	xyz_path
889	-15801.7174741753	Structures/structure889.xyz
890	-15801.7174477674	Structures/structure890.xyz
891	-15801.7174861061	Structures/structure891.xyz
892	-15801.7174617635	Structures/structure892.xyz
893	-15801.7174842872	Structures/structure893.xyz
894	-15801.7174701959	Structures/structure894.xyz
895	-15801.7174691793	Structures/structure895.xyz
896	-15801.7174731477	Structures/structure896.xyz
897	-15801.7174602350	Structures/structure897.xyz
898	-15801.7174545495	Structures/structure898.xyz
899	-15801.7174627136	Structures/structure899.xyz
900	-15801.7174622028	Structures/structure900.xyz
901	-15801.7174620636	Structures/structure901.xyz
902	-15801.7174592898	Structures/structure902.xyz
903	-15801.7174505076	Structures/structure903.xyz
904	-15801.7174595427	Structures/structure904.xyz
905	-15801.7174666636	Structures/structure905.xyz
906	-15801.7174653395	Structures/structure906.xyz
907	-15801.7174585019	Structures/structure907.xyz
908	-15801.7174515950	Structures/structure908.xyz
909	-15801.7174248742	Structures/structure909.xyz
910	-15801.7174460171	Structures/structure910.xyz
911	-15801.7174404498	Structures/structure911.xyz
912	-15801.7174588980	Structures/structure912.xyz
913	-15801.7174505150	Structures/structure913.xyz
914	-15801.7174576748	Structures/structure914.xyz
915	-15801.7174548398	Structures/structure915.xyz
916	-15801.7174624689	Structures/structure916.xyz
917	-15801.7174741203	Structures/structure917.xyz
918	-15801.7174408777	Structures/structure918.xyz
919	-15801.7174486236	Structures/structure919.xyz
920	-15801.7174414242	Structures/structure920.xyz
921	-15801.7174664658	Structures/structure921.xyz
922	-15801.7174659788	Structures/structure922.xyz
923	-15801.7174860599	Structures/structure923.xyz
924	-15801.7174719068	Structures/structure924.xyz
925	-15801.7174563774	Structures/structure925.xyz
926	-15801.7174481086	Structures/structure926.xyz
927	-15801.7174333834	Structures/structure927.xyz
928	-15801.7174687389	Structures/structure928.xyz
929	-15801.7174624607	Structures/structure929.xyz
970	-15801.7172397002	Structures/structure970.xyz
993	-15801.7174263619	Structures/structure993.xyz
997	-15801.7174537296	Structures/structure997.xyz
1003	-15801.7174522954	Structures/structure1003.xyz
1087	-15801.7172410616	Structures/structure1087.xyz
1112	-15801.7172375182	Structures/structure1112.xyz
1155	-15801.7172922924	Structures/structure1155.xyz
1159	-15801.7174544953	Structures/structure1159.xyz
1245	-15801.7172736416	Structures/structure1245.xyz
1253	-15801.7173004659	Structures/structure1253.xyz
1260	-15801.7172371745	Structures/structure1260.xyz
1265	-15801.7173829076	Structures/structure1265.xyz
1274	-15801.7174533999	Structures/structure1274.xyz
1302	-15801.7172837112	Structures/structure1302.xyz
1408	-15801.7174525765	Structures/structure1408.xyz
1415	-15801.7172590474	Structures/structure1415.xyz
1435	-15801.7172549125	Structures/structure1435.xyz
1436	-15801.7172480164	Structures/structure1436.xyz
1454	-15801.7174535253	Structures/structure1454.xyz
1505	-15801.7172472148	Structures/structure1505.xyz
1522	-15801.7172596164	Structures/structure1522.xyz
1535	-15801.7172481810	Structures/structure1535.xyz
1545	-15801.7174528007	Structures/structure1545.xyz
1549	-15801.7174507411	Structures/structure1549.xyz
1570	-15801.7174519782	Structures/structure1570.xyz
1615	-15801.7174531732	Structures/structure1615.xyz
1666	-15801.7174523464	Structures/structure1666.xyz
