dataset_row	predicted_ccsd	xyz_path
1027	-3124.2657776012	Structures/structure1027.xyz
1028	-3124.2657697367	Structures/structure1028.xyz
1066	-3124.2657200917	Structures/structure1066.xyz
1067	-3124.2657597342	Structures/structure1067.xyz
1068	-3124.2657212965	Structures/structure1068.xyz
1088	-3124.2657445038	Structures/structure1088.xyz
1099	-3124.2657674977	Structures/structure1099.xyz
1100	-3124.2657745260	Structures/structure1100.xyz
1101	-3124.2657914005	Structures/structure1101.xyz
1102	-3124.2657716843	Structures/structure1102.xyz
1103	-3124.2657711238	Structures/structure1103.xyz
1104	-3124.2657751061	Structures/structure1104.xyz
1105	-3124.2657797886	Structures/structure1105.xyz
1106	-3124.2657758976	Structures/structure1106.xyz
1107	-3124.2657774361	Structures/structure1107.xyz
1108	-3124.2657794882	Structures/structure1108.xyz
1109	-3124.2657712423	Structures/structure1109.xyz
1110	-3124.2657798549	Structures/structure1110.xyz
1111	-3124.2657743698	Structures/structure1111.xyz
1112	-3124.2657625539	Structures/structure1112.xyz
1113	-3124.2657789869	Structures/structure1113.xyz
1114	-3124.2657710543	Structures/structure1114.xyz
1115	-3124.2657721151	Structures/structure1115.xyz
1116	-3124.2657785612	Structures/structure1116.xyz
1117	-3124.2657762141	Structures/structure1117.xyz
1118	-3124.2657747333	Structures/structure1118.xyz
1126	-3124.2657080110	Structures/structure1126.xyz
1135	-3124.2657700389	Structures/structure1135.xyz
1136	-3124.2657829848	Structures/structure1136.xyz
1236	-3124.2657100546	Structures/structure1236.xyz
1249	-3124.2657474180	Structures/structure1249.xyz
1265	-3124.2656994349	Structures/structure1265.xyz
1285	-3124.2657729653	Structures/structure1285.xyz
1363	-3124.2657762051	Structures/structure1363.xyz
1372	-3124.2657701306	Structures/structure1372.xyz
1394	-3124.2657764896	Structures/structure1394.xyz
1405	-3124.2657761616	Structures/structure1405.xyz
1429	-3124.2657809705	Structures/structure1429.xyz
1430	-3124.2657102970	Structures/structure1430.xyz
1493	-3124.2657751801	Structures/structure1493.xyz
1519	-3124.2656963034	Structures/structure1519.xyz
1520	-3124.2657772976	Structures/structure1520.xyz
1527	-3124.2657021632	Structures/structure1527.xyz
1544	-3124.2657717988	Structures/structure1544.xyz
1560	-3124.2657153076	Structures/structure1560.xyz
1564	-3124.2657430156	Structures/structure1564.xyz
1568	-3124.2657799255	Structures/structure1568.xyz
1571	-3124.2657717253	Structures/structure1571.xyz
1595	-3124.2657730857	Structures/structure1595.xyz
1637	-3124.2657126807	Structures/structure1637.xyz
1640	-3124.2657320255	Structures/structure1640.xyz
1669	-3124.2656970590	Structures/structure1669.xyz
1724	-3124.2657742706	Structures/structure1724.xyz
1728	-3124.2657830841	Structures/structure1728.xyz
1787	-3124.2657362226	Structures/structure1787.xyz
1795	-3124.2657346403	Structures/structure1795.xyz
1835	-3124.2657691090	Structures/structure1835.xyz
1864	-3124.2657079152	Structures/structure1864.xyz
1873	-3124.2657661150	Structures/structure1873.xyz
1893	-3124.2657159349	Structures/structure1893.xyz
1911	-3124.2657738157	Structures/structure1911.xyz
1920	-3124.2657165417	Structures/structure1920.xyz
1930	-3124.2657757358	Structures/structure1930.xyz
1932	-3124.2657673472	Structures/structure1932.xyz
1953	-3124.2656988938	Structures/structure1953.xyz
2004	-3124.2657048751	Structures/structure2004.xyz
2017	-3124.2657536617	Structures/structure2017.xyz
2053	-3124.2657027533	Structures/structure2053.xyz
2148	-3124.2657307380	Structures/structure2148.xyz
2173	-3124.2657338681	Structures/structure2173.xyz
2181	-3124.2657748630	Structures/structure2181.xyz
2187	-3124.2657810530	Structures/structure2187.xyz
2191	-3124.2656987655	Structures/structure2191.xyz
2193	-3124.2657755086	Structures/structure2193.xyz
2264	-3124.2657102130	Structures/structure2264.xyz
2347	-3124.2657202482	Structures/structure2347.xyz
2374	-3124.2657716655	Structures/structure2374.xyz
2399	-3124.2657235078	Structures/structure2399.xyz
2435	-3124.2657021676	Structures/structure2435.xyz
2470	-3124.2657711234	Structures/structure2470.xyz
2480	-3124.2657356782	Structures/structure2480.xyz
2560	-3124.2657443748	Structures/structure2560.xyz
2583	-3124.2656966982	Structures/structure2583.xyz
2585	-3124.2657327394	Structures/structure2585.xyz
2591	-3124.2657009658	Structures/structure2591.xyz
2606	-3124.2657336409	Structures/structure2606.xyz
2615	-3124.2657158391	Structures/structure2615.xyz
2619	-3124.2657502809	Structures/structure2619.xyz
2621	-3124.2657800946	Structures/structure2621.xyz
2690	-3124.2657141047	Structures/structure2690.xyz
2715	-3124.2657347353	Structures/structure2715.xyz
2721	-3124.2657726699	Structures/structure2721.xyz
2763	-3124.2657751232	Structures/structure2763.xyz
2777	-3124.2657767156	Structures/structure2777.xyz
2821	-3124.2657717518	Structures/structure2821.xyz
2825	-3124.2656963569	Structures/structure2825.xyz
2829	-3124.2657314918	Structures/structure2829.xyz
2830	-3124.2657333119	Structures/structure2830.xyz
2852	-3124.2657040758	Structures/structure2852.xyz
2858	-3124.2657754809	Structures/structure2858.xyz
2876	-3124.2657810340	Structures/structure2876.xyz
2889	-3124.2657428832	Structures/structure2889.xyz
2892	-3124.2657773399	Structures/structure2892.xyz
2955	-3124.2657777981	Structures/structure2955.xyz
2960	-3124.2657698067	Structures/structure2960.xyz
3017	-3124.2657104472	Structures/structure3017.xyz
3025	-3124.2657735084	Structures/structure3025.xyz
3031	-3124.2657077354	Structures/structure3031.xyz
3032	-3124.2657050902	Structures/structure3032.xyz
3050	-3124.2657828162	Structures/structure3050.xyz
3096	-3124.2657380926	Structures/structure3096.xyz
3098	-3124.2657295544	Structures/structure3098.xyz
3102	-3124.2657741546	Structures/structure3102.xyz
3108	-3124.2657714550	Structures/structure3108.xyz
3115	-3124.2657350198	Structures/structure3115.xyz
3138	-3124.2657748170	Structures/structure3138.xyz
3178	-3124.2657720168	Structures/structure3178.xyz
3179	-3124.2657449871	Structures/structure3179.xyz
3204	-3124.2657033957	Structures/structure3204.xyz
3213	-3124.2657121853	Structures/structure3213.xyz
3243	-3124.2657788373	Structures/structure3243.xyz
3259	-3124.2657225250	Structures/structure3259.xyz
3290	-3124.2656957403	Structures/structure3290.xyz
