dataset_row	predicted_ccsd	xyz_path
828	-964.4257408748	Structures/structure828.xyz
829	-964.4257464175	Structures/structure829.xyz
830	-964.4257432802	Structures/structure830.xyz
831	-964.4257268263	Structures/structure831.xyz
832	-964.4257398640	Structures/structure832.xyz
833	-964.4257340922	Structures/structure833.xyz
834	-964.4257350300	Structures/structure834.xyz
835	-964.4257398355	Structures/structure835.xyz
836	-964.4257482998	Structures/structure836.xyz
837	-964.4257445793	Structures/structure837.xyz
838	-964.4257485901	Structures/structure838.xyz
839	-964.4257513601	Structures/structure839.xyz
840	-964.4257404418	Structures/structure840.xyz
841	-964.4257459925	Structures/structure841.xyz
842	-964.4257491781	Structures/structure842.xyz
843	-964.4257440873	Structures/structure843.xyz
844	-964.4257550997	Structures/structure844.xyz
845	-964.4257319112	Structures/structure845.xyz
846	-964.4257375132	Structures/structure846.xyz
847	-964.4257341899	Structures/structure847.xyz
848	-964.4257428739	Structures/structure848.xyz
849	-964.4257452639	Structures/structure849.xyz
850	-964.4257543456	Structures/structure850.xyz
851	-964.4257453437	Structures/structure851.xyz
868	-964.4257488536	Structures/structure868.xyz
869	-964.4257409446	Structures/structure869.xyz
870	-964.4257397899	Structures/structure870.xyz
871	-964.4257423048	Structures/structure871.xyz
872	-964.4257423802	Structures/structure872.xyz
873	-964.4257311268	Structures/structure873.xyz
874	-964.4257496755	Structures/structure874.xyz
875	-964.4257298681	Structures/structure875.xyz
876	-964.4257331459	Structures/structure876.xyz
877	-964.4257447700	Structures/structure877.xyz
878	-964.4257438749	Structures/structure878.xyz
879	-964.4257445898	Structures/structure879.xyz
880	-964.4257253247	Structures/structure880.xyz
881	-964.4257349650	Structures/structure881.xyz
882	-964.4257485661	Structures/structure882.xyz
883	-964.4257384277	Structures/structure883.xyz
884	-964.4257438284	Structures/structure884.xyz
885	-964.4257405661	Structures/structure885.xyz
886	-964.4257508606	Structures/structure886.xyz
887	-964.4257354959	Structures/structure887.xyz
888	-964.4257465802	Structures/structure888.xyz
907	-964.4257566123	Structures/structure907.xyz
989	-964.4257565914	Structures/structure989.xyz
1002	-964.4257563475	Structures/structure1002.xyz
1009	-964.4257562254	Structures/structure1009.xyz
1013	-964.4257552957	Structures/structure1013.xyz
1042	-964.4257574237	Structures/structure1042.xyz
1050	-964.4257564587	Structures/structure1050.xyz
1056	-964.4257575247	Structures/structure1056.xyz
1113	-964.4257561719	Structures/structure1113.xyz
1135	-964.4257565604	Structures/structure1135.xyz
1143	-964.4257570092	Structures/structure1143.xyz
1216	-964.4257576690	Structures/structure1216.xyz
1297	-964.4257581480	Structures/structure1297.xyz
1326	-964.4257575186	Structures/structure1326.xyz
1351	-964.4257561816	Structures/structure1351.xyz
1401	-964.4257579545	Structures/structure1401.xyz
1463	-964.4257563447	Structures/structure1463.xyz
1540	-964.4257635723	Structures/structure1540.xyz
1546	-964.4257555835	Structures/structure1546.xyz
1571	-964.4257572509	Structures/structure1571.xyz
1584	-964.4257571121	Structures/structure1584.xyz
1606	-964.4257561917	Structures/structure1606.xyz
1662	-964.4257564981	Structures/structure1662.xyz
1721	-964.4257553009	Structures/structure1721.xyz
1734	-964.4257574033	Structures/structure1734.xyz
1759	-964.4257574589	Structures/structure1759.xyz
1810	-964.4257577787	Structures/structure1810.xyz
1914	-964.4257568735	Structures/structure1914.xyz
1976	-964.4257564657	Structures/structure1976.xyz
1985	-964.4257560126	Structures/structure1985.xyz
2040	-964.4257561105	Structures/structure2040.xyz
2135	-964.4257578706	Structures/structure2135.xyz
2138	-964.4257565378	Structures/structure2138.xyz
2157	-964.4257576631	Structures/structure2157.xyz
2167	-964.4257571955	Structures/structure2167.xyz
2198	-964.4257560099	Structures/structure2198.xyz
2231	-964.4257572161	Structures/structure2231.xyz
2534	-964.4257563789	Structures/structure2534.xyz
2557	-964.4257572937	Structures/structure2557.xyz
2607	-964.4257569066	Structures/structure2607.xyz
2644	-964.4257565868	Structures/structure2644.xyz
2788	-964.4257569557	Structures/structure2788.xyz
2813	-964.4257568127	Structures/structure2813.xyz
2822	-964.4257562095	Structures/structure2822.xyz
2857	-964.4257568772	Structures/structure2857.xyz
2891	-964.4257564333	Structures/structure2891.xyz
2927	-964.4257570102	Structures/structure2927.xyz
2951	-964.4257568289	Structures/structure2951.xyz
3165	-964.4257554377	Structures/structure3165.xyz
3201	-964.4257570170	Structures/structure3201.xyz
3280	-964.4257110668	Structures/structure3280.xyz
3290	-964.4257564992	Structures/structure3290.xyz
3306	-964.4257565915	Structures/structure3306.xyz
3361	-964.4257560484	Structures/structure3361.xyz
3364	-964.4257567434	Structures/structure3364.xyz
3447	-964.4257570673	Structures/structure3447.xyz
3463	-964.4257560416	Structures/structure3463.xyz
3466	-964.4257573890	Structures/structure3466.xyz
3472	-964.4257563042	Structures/structure3472.xyz
3556	-964.4257564674	Structures/structure3556.xyz
3568	-964.4257566421	Structures/structure3568.xyz
3599	-964.4257569985	Structures/structure3599.xyz
3609	-964.4257566962	Structures/structure3609.xyz
3630	-964.4257565439	Structures/structure3630.xyz
3665	-964.4257566167	Structures/structure3665.xyz
3695	-964.4257559506	Structures/structure3695.xyz
3797	-964.4257573960	Structures/structure3797.xyz
3855	-964.4257565475	Structures/structure3855.xyz
3892	-964.4257565607	Structures/structure3892.xyz
3909	-964.4257569375	Structures/structure3909.xyz
3922	-964.4257578039	Structures/structure3922.xyz
3992	-964.4257571894	Structures/structure3992.xyz
4018	-964.4257566630	Structures/structure4018.xyz
4070	-964.4257562392	Structures/structure4070.xyz
4092	-964.4257566692	Structures/structure4092.xyz
4158	-964.4257555640	Structures/structure4158.xyz
4172	-964.4257567586	Structures/structure4172.xyz
4190	-964.4257556260	Structures/structure4190.xyz
4198	-964.4257567358	Structures/structure4198.xyz
4442	-964.4257572148	Structures/structure4442.xyz
4506	-964.4257571030	Structures/structure4506.xyz
4540	-964.4257566726	Structures/structure4540.xyz
4834	-964.4257556694	Structures/structure4834.xyz
4840	-964.4257574401	Structures/structure4840.xyz
4878	-964.4257572211	Structures/structure4878.xyz
4917	-964.4257562760	Structures/structure4917.xyz
4925	-964.4257565199	Structures/structure4925.xyz
5007	-964.4257562095	Structures/structure5007.xyz
5027	-964.4257563623	Structures/structure5027.xyz
5102	-964.4257577078	Structures/structure5102.xyz
5138	-964.4257560758	Structures/structure5138.xyz
5188	-964.4257550991	Structures/structure5188.xyz
5196	-964.4257570636	Structures/structure5196.xyz
5204	-964.4257563844	Structures/structure5204.xyz
5251	-964.4257564729	Structures/structure5251.xyz
5309	-964.4257561126	Structures/structure5309.xyz
5327	-964.4257566171	Structures/structure5327.xyz
5337	-964.4257574055	Structures/structure5337.xyz
5368	-964.4257578211	Structures/structure5368.xyz
5395	-964.4257561010	Structures/structure5395.xyz
5443	-964.4257567597	Structures/structure5443.xyz
5496	-964.4257575384	Structures/structure5496.xyz
